CAR_MODAL,BRAND,CAR_NAME,CAR_VARIANT,OWNER_TYPE,KM_DRIVEN,FUEL_TYPE,MONTHLY_EMI,CAR_PRICE,LOCATION
2022,Maruti,New,New Wagon-R VXI 1.0 AMT ,AUTOMATIC,22666,PETROL,"11,574",592000,New Delhi
2012,Honda,City,City 1.5L I-VTEC V AT ,AUTOMATIC,89613,PETROL,"10,662",321000,New Delhi
2014,Maruti,Wagon,Wagon R 1.0 LXI ,MANUAL,53117,PETROL,"6,117",275000,New Delhi
2017,Maruti,Swift,Swift ZXI ,MANUAL,63367,PETROL,"9,619",492000,New Delhi
2020,Maruti,Baleno,Baleno DELTA PETROL 1.2 ,MANUAL,59534,CNG,"12,258",627000,New Delhi
2019,Hyundai,NEW,NEW SANTRO SPORTZ AMT ,AUTOMATIC,65109,PETROL,"8,465",433000,New Delhi
2020,Maruti,Baleno,Baleno ZETA PETROL 1.2 ,MANUAL,31845,PETROL,"12,903",660000,New Delhi
2018,Maruti,Wagon,Wagon R 1.0 LXI CNG ,MANUAL,80107,CNG,"7,703",394000,New Delhi
2011,Hyundai,i20,i20 SPORTZ 1.2 ,MANUAL,73031,PETROL,"8,897",189000,New Delhi
2022,Tata,NEXON,NEXON XM PETROL ,MANUAL,30785,PETROL,"14,233",728000,New Delhi
2021,Maruti,Baleno,Baleno DELTA PETROL 1.2 ,MANUAL,41436,PETROL,"11,906",609000,New Delhi
2014,Hyundai,i20,i20 SPORTZ 1.2 ,MANUAL,85084,PETROL,"7,763",349000,New Delhi
2015,Honda,Brio,Brio VX AT ,AUTOMATIC,44303,PETROL,"7,683",393000,New Delhi
2017,Hyundai,Creta,Creta SX PLUS AT 1.6 PETROL ,AUTOMATIC,74436,PETROL,"16,046",843000,New Delhi
2021,Tata,TIGOR,TIGOR XE PETROL ,MANUAL,24927,PETROL,"10,283",526000,New Delhi
2014,Honda,City,City 1.5L I-VTEC E MT ,MANUAL,47069,PETROL,"10,188",458000,New Delhi
2014,Maruti,Wagon,Wagon R 1.0 LXI ,MANUAL,32631,PETROL,"6,406",288000,New Delhi
2020,Renault,TRIBER,TRIBER RXZ ,MANUAL,48169,PETROL,"10,968",561000,New Delhi
2019,Honda,Amaze,Amaze 1.2L I-VTEC S ,MANUAL,37264,PETROL,"11,222",574000,New Delhi
2019,Jeep,Compass,Compass SPORT PLUS 1.4 PETROL ,MANUAL,59431,PETROL,"22,555",1185000,New Delhi
2010,Hyundai,i10,i10 SPORTZ 1.2 ,MANUAL,74924,PETROL,"11,550",130000,New Delhi
2019,KIA,SELTOS,SELTOS GTX PLUS DCT 1.4 PETROL ,AUTOMATIC,49161,PETROL,"26,971",1417000,New Delhi
2021,Hyundai,VENUE,VENUE SX 1.0 TURBO ,MANUAL,29239,PETROL,"16,312",857000,New Delhi
2016,Honda,City,City 1.5L I-VTEC VX ,MANUAL,77095,PETROL,"12,336",631000,New Delhi
2019,Maruti,Vitara,Vitara Brezza ZDI ,MANUAL,102604,DIESEL,"15,260",686000,New Delhi
2018,Maruti,Baleno,Baleno DELTA CVT PETROL 1.2 ,AUTOMATIC,70189,PETROL,"10,479",536000,New Delhi
2019,Datsun,Go,Go Plus T(O) ,MANUAL,30616,PETROL,"8,915",455999,New Delhi
2011,Toyota,Etios,Etios VX ,MANUAL,71433,PETROL,"11,439",243000,New Delhi
2011,Hyundai,i10,i10 MAGNA 1.2 ,MANUAL,75338,PETROL,"8,567",182000,New Delhi
2013,Maruti,Swift,Swift VXI ,MANUAL,46822,PETROL,"7,716",293000,New Delhi
2021,Tata,NEXON,NEXON XZ PETROL ,MANUAL,8119,PETROL,"16,331",858000,New Delhi
2022,Tata,Tiago,Tiago XT CNG ,MANUAL,12693,CNG,"12,981",664000,New Delhi
2017,Tata,NEXON,NEXON XZ PLUS PETROL ,MANUAL,40890,PETROL,"12,317",630000,New Delhi
2020,Maruti,Baleno,Baleno ZETA PETROL 1.2 ,MANUAL,56966,PETROL,"13,069",668000,New Delhi
